Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_18878_ (falling edge-triggered flip-flop clocked by clk'),186.24
 instr[4] (input port clocked by clk), riscv/dp/_18910_ (falling edge-triggered flip-flop clocked by clk'),48.62
 instr[4] (input port clocked by clk), riscv/dp/_19710_ (falling edge-triggered flip-flop clocked by clk'),48.48
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19764_ (falling edge-triggered flip-flop clocked by clk'),-43.03
 instr[4] (input port clocked by clk), riscv/dp/_18974_ (falling edge-triggered flip-flop clocked by clk'),48.55
 instr[4] (input port clocked by clk), riscv/dp/_19678_ (falling edge-triggered flip-flop clocked by clk'),49.00
 instr[4] (input port clocked by clk), riscv/dp/_19038_ (falling edge-triggered flip-flop clocked by clk'),48.83
 instr[4] (input port clocked by clk), riscv/dp/_18942_ (falling edge-triggered flip-flop clocked by clk'),48.68
 instr[4] (input port clocked by clk), riscv/dp/_19773_ (falling edge-triggered flip-flop clocked by clk'),56.73
 instr[4] (input port clocked by clk), riscv/dp/_18927_ (falling edge-triggered flip-flop clocked by clk'),56.93
 instr[4] (input port clocked by clk), riscv/dp/_19183_ (falling edge-triggered flip-flop clocked by clk'),57.13
 instr[4] (input port clocked by clk), riscv/dp/_18959_ (falling edge-triggered flip-flop clocked by clk'),57.08
 instr[4] (input port clocked by clk), riscv/dp/_19198_ (falling edge-triggered flip-flop clocked by clk'),49.10
 instr[4] (input port clocked by clk), riscv/dp/_19870_ (falling edge-triggered flip-flop clocked by clk'),49.15
 instr[4] (input port clocked by clk), riscv/dp/_19005_ (falling edge-triggered flip-flop clocked by clk'),54.99
 instr[4] (input port clocked by clk), riscv/dp/_19485_ (falling edge-triggered flip-flop clocked by clk'),55.17
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19316_ (falling edge-triggered flip-flop clocked by clk'),-44.41
 instr[4] (input port clocked by clk), riscv/dp/_19535_ (falling edge-triggered flip-flop clocked by clk'),56.72
 instr[4] (input port clocked by clk), riscv/dp/_18895_ (falling edge-triggered flip-flop clocked by clk'),57.32
 instr[4] (input port clocked by clk), riscv/dp/_19741_ (falling edge-triggered flip-flop clocked by clk'),56.84
 instr[4] (input port clocked by clk), riscv/dp/_19663_ (falling edge-triggered flip-flop clocked by clk'),57.71
 instr[4] (input port clocked by clk), riscv/dp/_19389_ (falling edge-triggered flip-flop clocked by clk'),54.71
 instr[4] (input port clocked by clk), riscv/dp/_19069_ (falling edge-triggered flip-flop clocked by clk'),58.34
 instr[4] (input port clocked by clk), riscv/dp/_19101_ (falling edge-triggered flip-flop clocked by clk'),54.79
 instr[4] (input port clocked by clk), riscv/dp/_19247_ (falling edge-triggered flip-flop clocked by clk'),48.77
 instr[4] (input port clocked by clk), riscv/dp/_19407_ (falling edge-triggered flip-flop clocked by clk'),48.78
 instr[4] (input port clocked by clk), riscv/dp/_19229_ (falling edge-triggered flip-flop clocked by clk'),54.79
 instr[4] (input port clocked by clk), riscv/dp/_19695_ (falling edge-triggered flip-flop clocked by clk'),57.39
 instr[4] (input port clocked by clk), riscv/dp/_19517_ (falling edge-triggered flip-flop clocked by clk'),54.88
 instr[4] (input port clocked by clk), riscv/dp/_19645_ (falling edge-triggered flip-flop clocked by clk'),54.95
 instr[4] (input port clocked by clk), riscv/dp/_19869_ (falling edge-triggered flip-flop clocked by clk'),57.34
 instr[4] (input port clocked by clk), riscv/dp/_19279_ (falling edge-triggered flip-flop clocked by clk'),49.16
 instr[4] (input port clocked by clk), riscv/dp/_19119_ (falling edge-triggered flip-flop clocked by clk'),57.10
 instr[4] (input port clocked by clk), riscv/dp/_19037_ (falling edge-triggered flip-flop clocked by clk'),56.72
 instr[4] (input port clocked by clk), riscv/dp/_19151_ (falling edge-triggered flip-flop clocked by clk'),57.19
 instr[4] (input port clocked by clk), riscv/dp/_19070_ (falling edge-triggered flip-flop clocked by clk'),49.67
 instr[4] (input port clocked by clk), riscv/dp/_19453_ (falling edge-triggered flip-flop clocked by clk'),55.19
 instr[4] (input port clocked by clk), riscv/dp/_19325_ (falling edge-triggered flip-flop clocked by clk'),56.82
 instr[4] (input port clocked by clk), riscv/dp/_19006_ (falling edge-triggered flip-flop clocked by clk'),50.31
 instr[4] (input port clocked by clk), riscv/dp/_19230_ (falling edge-triggered flip-flop clocked by clk'),50.07
 instr[4] (input port clocked by clk), riscv/dp/_19646_ (falling edge-triggered flip-flop clocked by clk'),49.89
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19828_ (falling edge-triggered flip-flop clocked by clk'),-43.23
 instr[4] (input port clocked by clk), riscv/dp/_19567_ (falling edge-triggered flip-flop clocked by clk'),57.64
 instr[4] (input port clocked by clk), riscv/dp/_19102_ (falling edge-triggered flip-flop clocked by clk'),49.75
 instr[4] (input port clocked by clk), riscv/dp/_19343_ (falling edge-triggered flip-flop clocked by clk'),58.29
 instr[4] (input port clocked by clk), riscv/dp/_19837_ (falling edge-triggered flip-flop clocked by clk'),58.05
 instr[4] (input port clocked by clk), riscv/dp/_19599_ (falling edge-triggered flip-flop clocked by clk'),58.41
 instr[4] (input port clocked by clk), riscv/dp/_18878_ (falling edge-triggered flip-flop clocked by clk'),186.24
 instr[4] (input port clocked by clk), riscv/dp/_19375_ (falling edge-triggered flip-flop clocked by clk'),52.65
 instr[4] (input port clocked by clk), riscv/dp/_19773_ (falling edge-triggered flip-flop clocked by clk'),56.73
 instr[4] (input port clocked by clk), riscv/dp/_19215_ (falling edge-triggered flip-flop clocked by clk'),53.20
 instr[4] (input port clocked by clk), riscv/dp/_19631_ (falling edge-triggered flip-flop clocked by clk'),54.31
 instr[4] (input port clocked by clk), riscv/dp/_19087_ (falling edge-triggered flip-flop clocked by clk'),53.28
 instr[4] (input port clocked by clk), riscv/dp/_19439_ (falling edge-triggered flip-flop clocked by clk'),52.80
 instr[4] (input port clocked by clk), riscv/dp/_19741_ (falling edge-triggered flip-flop clocked by clk'),56.84
 instr[4] (input port clocked by clk), riscv/dp/_19823_ (falling edge-triggered flip-flop clocked by clk'),53.67
 instr[4] (input port clocked by clk), riscv/dp/_19069_ (falling edge-triggered flip-flop clocked by clk'),58.34
 instr[4] (input port clocked by clk), riscv/dp/_19311_ (falling edge-triggered flip-flop clocked by clk'),53.46
 instr[4] (input port clocked by clk), riscv/dp/_19759_ (falling edge-triggered flip-flop clocked by clk'),53.84
 instr[4] (input port clocked by clk), riscv/dp/_19471_ (falling edge-triggered flip-flop clocked by clk'),53.17
 instr[4] (input port clocked by clk), riscv/dp/_19869_ (falling edge-triggered flip-flop clocked by clk'),57.34
 instr[4] (input port clocked by clk), riscv/dp/_19037_ (falling edge-triggered flip-flop clocked by clk'),56.72
 instr[4] (input port clocked by clk), riscv/dp/_19855_ (falling edge-triggered flip-flop clocked by clk'),54.11
 instr[4] (input port clocked by clk), riscv/dp/_19503_ (falling edge-triggered flip-flop clocked by clk'),53.51
 instr[4] (input port clocked by clk), riscv/dp/_19325_ (falling edge-triggered flip-flop clocked by clk'),56.82
 instr[4] (input port clocked by clk), riscv/dp/_19727_ (falling edge-triggered flip-flop clocked by clk'),53.75
 instr[4] (input port clocked by clk), riscv/dp/_19774_ (falling edge-triggered flip-flop clocked by clk'),56.50
 instr[4] (input port clocked by clk), riscv/dp/_19055_ (falling edge-triggered flip-flop clocked by clk'),55.20
 instr[4] (input port clocked by clk), riscv/dp/_18991_ (falling edge-triggered flip-flop clocked by clk'),51.74
 instr[4] (input port clocked by clk), riscv/dp/_19838_ (falling edge-triggered flip-flop clocked by clk'),56.45
 instr[4] (input port clocked by clk), riscv/dp/_19326_ (falling edge-triggered flip-flop clocked by clk'),52.61
 instr[4] (input port clocked by clk), riscv/dp/_19023_ (falling edge-triggered flip-flop clocked by clk'),54.60
 instr[4] (input port clocked by clk), riscv/dp/_19837_ (falling edge-triggered flip-flop clocked by clk'),58.05
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18877_ (falling edge-triggered flip-flop clocked by clk'),-38.40
 instr[4] (input port clocked by clk), riscv/dp/_19742_ (falling edge-triggered flip-flop clocked by clk'),56.90
 instr[4] (input port clocked by clk), riscv/dp/_18863_ (falling edge-triggered flip-flop clocked by clk'),54.18
 instr[4] (input port clocked by clk), riscv/dp/_19375_ (falling edge-triggered flip-flop clocked by clk'),52.65
 instr[4] (input port clocked by clk), riscv/dp/_19215_ (falling edge-triggered flip-flop clocked by clk'),53.20
 instr[4] (input port clocked by clk), riscv/dp/_19631_ (falling edge-triggered flip-flop clocked by clk'),54.31
 instr[4] (input port clocked by clk), riscv/dp/_19087_ (falling edge-triggered flip-flop clocked by clk'),53.28
 instr[4] (input port clocked by clk), riscv/dp/_19439_ (falling edge-triggered flip-flop clocked by clk'),52.80
 instr[4] (input port clocked by clk), riscv/dp/_19390_ (falling edge-triggered flip-flop clocked by clk'),53.23
 instr[4] (input port clocked by clk), riscv/dp/_19823_ (falling edge-triggered flip-flop clocked by clk'),53.67
 instr[4] (input port clocked by clk), riscv/dp/_19518_ (falling edge-triggered flip-flop clocked by clk'),53.85
 instr[4] (input port clocked by clk), riscv/dp/_19311_ (falling edge-triggered flip-flop clocked by clk'),53.46
 instr[4] (input port clocked by clk), riscv/dp/_19759_ (falling edge-triggered flip-flop clocked by clk'),53.84
 instr[4] (input port clocked by clk), riscv/dp/_19471_ (falling edge-triggered flip-flop clocked by clk'),53.17
 instr[4] (input port clocked by clk), riscv/dp/_19855_ (falling edge-triggered flip-flop clocked by clk'),54.11
 instr[4] (input port clocked by clk), riscv/dp/_19503_ (falling edge-triggered flip-flop clocked by clk'),53.51
 instr[4] (input port clocked by clk), riscv/dp/_19727_ (falling edge-triggered flip-flop clocked by clk'),53.75
 instr[4] (input port clocked by clk), riscv/dp/_19486_ (falling edge-triggered flip-flop clocked by clk'),54.19
 instr[4] (input port clocked by clk), riscv/dp/_19454_ (falling edge-triggered flip-flop clocked by clk'),54.01
 instr[4] (input port clocked by clk), riscv/dp/_19774_ (falling edge-triggered flip-flop clocked by clk'),56.50
 instr[4] (input port clocked by clk), riscv/dp/_19055_ (falling edge-triggered flip-flop clocked by clk'),55.20
 instr[4] (input port clocked by clk), riscv/dp/_18991_ (falling edge-triggered flip-flop clocked by clk'),51.74
 instr[4] (input port clocked by clk), riscv/dp/_19838_ (falling edge-triggered flip-flop clocked by clk'),56.45
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19732_ (falling edge-triggered flip-flop clocked by clk'),-40.64
 instr[4] (input port clocked by clk), riscv/dp/_19326_ (falling edge-triggered flip-flop clocked by clk'),52.61
 instr[4] (input port clocked by clk), riscv/dp/_19023_ (falling edge-triggered flip-flop clocked by clk'),54.60
 instr[4] (input port clocked by clk), riscv/dp/_19742_ (falling edge-triggered flip-flop clocked by clk'),56.90
 instr[4] (input port clocked by clk), riscv/dp/_18863_ (falling edge-triggered flip-flop clocked by clk'),54.18
 instr[4] (input port clocked by clk), riscv/dp/_19390_ (falling edge-triggered flip-flop clocked by clk'),53.23
 instr[4] (input port clocked by clk), riscv/dp/_19518_ (falling edge-triggered flip-flop clocked by clk'),53.85
 instr[4] (input port clocked by clk), riscv/dp/_19486_ (falling edge-triggered flip-flop clocked by clk'),54.19
 instr[4] (input port clocked by clk), riscv/dp/_19454_ (falling edge-triggered flip-flop clocked by clk'),54.01
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19197_ (falling edge-triggered flip-flop clocked by clk'),-33.76
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18909_ (falling edge-triggered flip-flop clocked by clk'),-34.16
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19421_ (falling edge-triggered flip-flop clocked by clk'),-33.81
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19261_ (falling edge-triggered flip-flop clocked by clk'),-33.77
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19293_ (falling edge-triggered flip-flop clocked by clk'),-33.62
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18941_ (falling edge-triggered flip-flop clocked by clk'),-32.36
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19549_ (falling edge-triggered flip-flop clocked by clk'),-34.15
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19581_ (falling edge-triggered flip-flop clocked by clk'),-33.47
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19613_ (falling edge-triggered flip-flop clocked by clk'),-33.40
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18973_ (falling edge-triggered flip-flop clocked by clk'),-33.26
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19357_ (falling edge-triggered flip-flop clocked by clk'),-32.43
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19165_ (falling edge-triggered flip-flop clocked by clk'),-34.19
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19709_ (falling edge-triggered flip-flop clocked by clk'),-33.26
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19133_ (falling edge-triggered flip-flop clocked by clk'),-33.96
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19677_ (falling edge-triggered flip-flop clocked by clk'),-32.60
 instr[4] (input port clocked by clk), riscv/dp/_19580_ (falling edge-triggered flip-flop clocked by clk'),61.19
 instr[4] (input port clocked by clk), riscv/dp/_19612_ (falling edge-triggered flip-flop clocked by clk'),61.25
 instr[4] (input port clocked by clk), riscv/dp/_19365_ (falling edge-triggered flip-flop clocked by clk'),147.30
 instr[4] (input port clocked by clk), riscv/dp/_19132_ (falling edge-triggered flip-flop clocked by clk'),62.04
 instr[4] (input port clocked by clk), riscv/dp/_19548_ (falling edge-triggered flip-flop clocked by clk'),60.87
 instr[4] (input port clocked by clk), riscv/dp/_19260_ (falling edge-triggered flip-flop clocked by clk'),62.20
 instr[4] (input port clocked by clk), riscv/dp/_19164_ (falling edge-triggered flip-flop clocked by clk'),61.90
 instr[4] (input port clocked by clk), riscv/dp/_19708_ (falling edge-triggered flip-flop clocked by clk'),61.66
 instr[4] (input port clocked by clk), riscv/dp/_19420_ (falling edge-triggered flip-flop clocked by clk'),61.96
 instr[4] (input port clocked by clk), riscv/dp/_19676_ (falling edge-triggered flip-flop clocked by clk'),61.71
 instr[4] (input port clocked by clk), riscv/dp/_19292_ (falling edge-triggered flip-flop clocked by clk'),61.70
 instr[4] (input port clocked by clk), riscv/dp/_18972_ (falling edge-triggered flip-flop clocked by clk'),62.23
 instr[4] (input port clocked by clk), riscv/dp/_19004_ (falling edge-triggered flip-flop clocked by clk'),61.68
 instr[4] (input port clocked by clk), riscv/dp/_19868_ (falling edge-triggered flip-flop clocked by clk'),62.14
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19614_ (falling edge-triggered flip-flop clocked by clk'),98.18
 instr[4] (input port clocked by clk), riscv/dp/_19868_ (falling edge-triggered flip-flop clocked by clk'),62.14
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19134_ (falling edge-triggered flip-flop clocked by clk'),99.16
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19166_ (falling edge-triggered flip-flop clocked by clk'),-36.63
 instr[4] (input port clocked by clk), riscv/dp/_18940_ (falling edge-triggered flip-flop clocked by clk'),62.24
 instr[4] (input port clocked by clk), riscv/dp/_18908_ (falling edge-triggered flip-flop clocked by clk'),61.85
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19262_ (falling edge-triggered flip-flop clocked by clk'),98.47
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19294_ (falling edge-triggered flip-flop clocked by clk'),-36.80
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19358_ (falling edge-triggered flip-flop clocked by clk'),98.61
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19582_ (falling edge-triggered flip-flop clocked by clk'),98.70
 instr[4] (input port clocked by clk), riscv/dp/_19196_ (falling edge-triggered flip-flop clocked by clk'),62.20
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19550_ (falling edge-triggered flip-flop clocked by clk'),98.76
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19422_ (falling edge-triggered flip-flop clocked by clk'),-36.47
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18910_ (falling edge-triggered flip-flop clocked by clk'),-36.18
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19710_ (falling edge-triggered flip-flop clocked by clk'),-36.32
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18974_ (falling edge-triggered flip-flop clocked by clk'),-36.25
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19678_ (falling edge-triggered flip-flop clocked by clk'),-35.81
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19038_ (falling edge-triggered flip-flop clocked by clk'),-35.97
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18942_ (falling edge-triggered flip-flop clocked by clk'),-36.13
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18927_ (falling edge-triggered flip-flop clocked by clk'),-27.87
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19183_ (falling edge-triggered flip-flop clocked by clk'),-27.68
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18959_ (falling edge-triggered flip-flop clocked by clk'),-27.72
 instr[4] (input port clocked by clk), riscv/dp/_19036_ (falling edge-triggered flip-flop clocked by clk'),63.13
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19198_ (falling edge-triggered flip-flop clocked by clk'),-35.71
 instr[4] (input port clocked by clk), riscv/dp/_19580_ (falling edge-triggered flip-flop clocked by clk'),61.19
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19870_ (falling edge-triggered flip-flop clocked by clk'),-35.65
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19005_ (falling edge-triggered flip-flop clocked by clk'),-29.81
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19485_ (falling edge-triggered flip-flop clocked by clk'),-29.63
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19535_ (falling edge-triggered flip-flop clocked by clk'),-28.08
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18895_ (falling edge-triggered flip-flop clocked by clk'),-27.49
 instr[4] (input port clocked by clk), riscv/dp/_19612_ (falling edge-triggered flip-flop clocked by clk'),61.25
 instr[4] (input port clocked by clk), riscv/dp/_19356_ (falling edge-triggered flip-flop clocked by clk'),61.03
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19663_ (falling edge-triggered flip-flop clocked by clk'),-27.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19389_ (falling edge-triggered flip-flop clocked by clk'),-30.09
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19101_ (falling edge-triggered flip-flop clocked by clk'),-30.01
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19247_ (falling edge-triggered flip-flop clocked by clk'),-36.03
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19407_ (falling edge-triggered flip-flop clocked by clk'),-36.03
 instr[4] (input port clocked by clk), riscv/dp/_19132_ (falling edge-triggered flip-flop clocked by clk'),62.04
 instr[4] (input port clocked by clk), riscv/dp/_19548_ (falling edge-triggered flip-flop clocked by clk'),60.87
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19229_ (falling edge-triggered flip-flop clocked by clk'),-30.01
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19695_ (falling edge-triggered flip-flop clocked by clk'),-27.42
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19517_ (falling edge-triggered flip-flop clocked by clk'),-29.92
 instr[4] (input port clocked by clk), riscv/dp/_19260_ (falling edge-triggered flip-flop clocked by clk'),62.20
 instr[4] (input port clocked by clk), riscv/dp/_19164_ (falling edge-triggered flip-flop clocked by clk'),61.90
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19645_ (falling edge-triggered flip-flop clocked by clk'),-29.85
 instr[4] (input port clocked by clk), riscv/dp/_19708_ (falling edge-triggered flip-flop clocked by clk'),61.66
 instr[4] (input port clocked by clk), riscv/dp/_19420_ (falling edge-triggered flip-flop clocked by clk'),61.96
 instr[4] (input port clocked by clk), riscv/dp/_19100_ (falling edge-triggered flip-flop clocked by clk'),62.59
 instr[4] (input port clocked by clk), riscv/dp/_19676_ (falling edge-triggered flip-flop clocked by clk'),61.71
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19279_ (falling edge-triggered flip-flop clocked by clk'),-35.65
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19119_ (falling edge-triggered flip-flop clocked by clk'),-27.71
 instr[4] (input port clocked by clk), riscv/dp/_19292_ (falling edge-triggered flip-flop clocked by clk'),61.70
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19151_ (falling edge-triggered flip-flop clocked by clk'),-27.62
 instr[4] (input port clocked by clk), riscv/dp/_18972_ (falling edge-triggered flip-flop clocked by clk'),62.23
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19070_ (falling edge-triggered flip-flop clocked by clk'),-35.13
 instr[4] (input port clocked by clk), riscv/dp/_19004_ (falling edge-triggered flip-flop clocked by clk'),61.68
 instr[4] (input port clocked by clk), riscv/dp/_19228_ (falling edge-triggered flip-flop clocked by clk'),62.84
 instr[4] (input port clocked by clk), riscv/dp/_19868_ (falling edge-triggered flip-flop clocked by clk'),62.14
 instr[4] (input port clocked by clk), riscv/dp/_19644_ (falling edge-triggered flip-flop clocked by clk'),62.69
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19453_ (falling edge-triggered flip-flop clocked by clk'),-29.62
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19006_ (falling edge-triggered flip-flop clocked by clk'),-34.50
 instr[4] (input port clocked by clk), riscv/dp/_19068_ (falling edge-triggered flip-flop clocked by clk'),62.55
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19230_ (falling edge-triggered flip-flop clocked by clk'),-34.74
 instr[4] (input port clocked by clk), riscv/dp/_18908_ (falling edge-triggered flip-flop clocked by clk'),61.85
 instr[4] (input port clocked by clk), riscv/dp/_18940_ (falling edge-triggered flip-flop clocked by clk'),62.24
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19646_ (falling edge-triggered flip-flop clocked by clk'),-34.92
 instr[4] (input port clocked by clk), riscv/dp/_19484_ (falling edge-triggered flip-flop clocked by clk'),64.35
 instr[4] (input port clocked by clk), riscv/dp/_19196_ (falling edge-triggered flip-flop clocked by clk'),62.20
 instr[4] (input port clocked by clk), riscv/dp/_18876_ (falling edge-triggered flip-flop clocked by clk'),65.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19567_ (falling edge-triggered flip-flop clocked by clk'),-27.17
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19102_ (falling edge-triggered flip-flop clocked by clk'),-35.06
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19343_ (falling edge-triggered flip-flop clocked by clk'),-26.51
 instr[4] (input port clocked by clk), riscv/dp/_18859_ (falling edge-triggered flip-flop clocked by clk'),70.91
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19599_ (falling edge-triggered flip-flop clocked by clk'),-26.40
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_18878_ (falling edge-triggered flip-flop clocked by clk'),101.43
 instr[4] (input port clocked by clk), riscv/dp/_19254_ (falling edge-triggered flip-flop clocked by clk'),65.48
 instr[4] (input port clocked by clk), riscv/dp/_19414_ (falling edge-triggered flip-flop clocked by clk'),65.64
 instr[4] (input port clocked by clk), riscv/dp/_19702_ (falling edge-triggered flip-flop clocked by clk'),65.26
 instr[4] (input port clocked by clk), riscv/dp/_19670_ (falling edge-triggered flip-flop clocked by clk'),65.07
 instr[4] (input port clocked by clk), riscv/dp/_18902_ (falling edge-triggered flip-flop clocked by clk'),65.05
 instr[4] (input port clocked by clk), riscv/dp/_19158_ (falling edge-triggered flip-flop clocked by clk'),65.61
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19773_ (falling edge-triggered flip-flop clocked by clk'),-28.07
 instr[4] (input port clocked by clk), riscv/dp/_19286_ (falling edge-triggered flip-flop clocked by clk'),65.50
 instr[4] (input port clocked by clk), riscv/dp/_19126_ (falling edge-triggered flip-flop clocked by clk'),65.55
 instr[4] (input port clocked by clk), riscv/dp/_19574_ (falling edge-triggered flip-flop clocked by clk'),65.06
 instr[4] (input port clocked by clk), riscv/dp/_19036_ (falling edge-triggered flip-flop clocked by clk'),63.13
 instr[4] (input port clocked by clk), riscv/dp/_19190_ (falling edge-triggered flip-flop clocked by clk'),65.09
 instr[4] (input port clocked by clk), riscv/dp/_18966_ (falling edge-triggered flip-flop clocked by clk'),66.45
 instr[4] (input port clocked by clk), riscv/dp/_18934_ (falling edge-triggered flip-flop clocked by clk'),65.79
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19741_ (falling edge-triggered flip-flop clocked by clk'),-27.96
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19069_ (falling edge-triggered flip-flop clocked by clk'),-26.47
 instr[4] (input port clocked by clk), riscv/dp/_18998_ (falling edge-triggered flip-flop clocked by clk'),65.61
 instr[4] (input port clocked by clk), riscv/dp/_19542_ (falling edge-triggered flip-flop clocked by clk'),65.72
 instr[4] (input port clocked by clk), riscv/dp/_19100_ (falling edge-triggered flip-flop clocked by clk'),62.59
 instr[4] (input port clocked by clk), riscv/dp/_19606_ (falling edge-triggered flip-flop clocked by clk'),66.10
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19869_ (falling edge-triggered flip-flop clocked by clk'),-27.47
 instr[4] (input port clocked by clk), riscv/dp/_19350_ (falling edge-triggered flip-flop clocked by clk'),66.37
 riscv/dp/_19901_ (rising edge-triggered flip-flop clocked by clk), riscv/dp/_19037_ (falling edge-triggered flip-flop clocked by clk'),-28.09
 instr[4] (input port clocked by clk), riscv/dp/_19228_ (falling edge-triggered flip-flop clocked by clk'),62.84
 instr[4] (input port clocked by clk), riscv/dp/_19644_ (falling edge-triggered flip-flop clocked by clk'),62.69
