Startpoint,Endpoint,Slack
 instr[4] (input port clocked by clk), riscv/dp/_19217_ (falling edge-triggered flip-flop clocked by clk'),36.44
 instr[4] (input port clocked by clk), riscv/dp/_19089_ (falling edge-triggered flip-flop clocked by clk'),36.57
 instr[4] (input port clocked by clk), riscv/dp/_19860_ (falling edge-triggered flip-flop clocked by clk'),40.59
 instr[4] (input port clocked by clk), riscv/dp/_19636_ (falling edge-triggered flip-flop clocked by clk'),39.10
 instr[4] (input port clocked by clk), riscv/dp/_19060_ (falling edge-triggered flip-flop clocked by clk'),38.86
 instr[4] (input port clocked by clk), riscv/dp/_18996_ (falling edge-triggered flip-flop clocked by clk'),38.98
 instr[4] (input port clocked by clk), riscv/dp/_19028_ (falling edge-triggered flip-flop clocked by clk'),39.13
 instr[4] (input port clocked by clk), riscv/dp/_19633_ (falling edge-triggered flip-flop clocked by clk'),36.71
 instr[4] (input port clocked by clk), riscv/dp/_19476_ (falling edge-triggered flip-flop clocked by clk'),39.03
 instr[4] (input port clocked by clk), riscv/dp/_19092_ (falling edge-triggered flip-flop clocked by clk'),38.96
 instr[4] (input port clocked by clk), riscv/dp/_19380_ (falling edge-triggered flip-flop clocked by clk'),39.70
 instr[4] (input port clocked by clk), riscv/dp/_19508_ (falling edge-triggered flip-flop clocked by clk'),39.33
 instr[4] (input port clocked by clk), riscv/dp/_19220_ (falling edge-triggered flip-flop clocked by clk'),38.87
 instr[4] (input port clocked by clk), riscv/dp/_19444_ (falling edge-triggered flip-flop clocked by clk'),41.27
 instr[4] (input port clocked by clk), riscv/dp/_19764_ (falling edge-triggered flip-flop clocked by clk'),41.77
 instr[4] (input port clocked by clk), riscv/dp/_19860_ (falling edge-triggered flip-flop clocked by clk'),40.59
 instr[4] (input port clocked by clk), riscv/dp/_19636_ (falling edge-triggered flip-flop clocked by clk'),39.10
 instr[4] (input port clocked by clk), riscv/dp/_19060_ (falling edge-triggered flip-flop clocked by clk'),38.86
 instr[4] (input port clocked by clk), riscv/dp/_18996_ (falling edge-triggered flip-flop clocked by clk'),38.98
 instr[4] (input port clocked by clk), riscv/dp/_19028_ (falling edge-triggered flip-flop clocked by clk'),39.13
 instr[4] (input port clocked by clk), riscv/dp/_19316_ (falling edge-triggered flip-flop clocked by clk'),40.39
 instr[4] (input port clocked by clk), riscv/dp/_19476_ (falling edge-triggered flip-flop clocked by clk'),39.03
 instr[4] (input port clocked by clk), riscv/dp/_19828_ (falling edge-triggered flip-flop clocked by clk'),41.58
 instr[4] (input port clocked by clk), riscv/dp/_19380_ (falling edge-triggered flip-flop clocked by clk'),39.70
 instr[4] (input port clocked by clk), riscv/dp/_19508_ (falling edge-triggered flip-flop clocked by clk'),39.33
 instr[4] (input port clocked by clk), riscv/dp/_19444_ (falling edge-triggered flip-flop clocked by clk'),41.27
 instr[4] (input port clocked by clk), riscv/dp/_19764_ (falling edge-triggered flip-flop clocked by clk'),41.77
 instr[4] (input port clocked by clk), riscv/dp/_19441_ (falling edge-triggered flip-flop clocked by clk'),37.02
 instr[4] (input port clocked by clk), riscv/dp/_19732_ (falling edge-triggered flip-flop clocked by clk'),44.17
 instr[4] (input port clocked by clk), riscv/dp/_19316_ (falling edge-triggered flip-flop clocked by clk'),40.39
 instr[4] (input port clocked by clk), riscv/dp/_19828_ (falling edge-triggered flip-flop clocked by clk'),41.58
 instr[4] (input port clocked by clk), riscv/dp/_18877_ (falling edge-triggered flip-flop clocked by clk'),46.41
